Gender,Height,Weight
Male,6.129302412,108.8521034
Male,5.708898036,73.03971263
Male,6.151138747,95.73338502
Male,5.953671207,99.01911164
Male,5.800189056,92.85741027
Male,5.582000302,68.49547011
Male,5.709161744,82.76754987
Male,5.672926787,75.58699973
Male,5.562572822,79.16824818
Male,5.266889,70.37985438
Male,5.909216729,83.97221652
Male,5.946186825,96.18352628
Male,5.375605318,75.2073575
Male,5.750494818,85.25078163
Male,5.747229775,83.8953756
Male,5.614586435,77.48411855
Male,6.01072028,88.21282784
Male,5.309869035,77.79756159
Male,5.780124972,83.69278092
Male,5.638688403,82.0919916
Male,5.636949166,78.3521681
Male,5.763473509,88.97913972
Male,5.490377953,67.1281047
Male,6.24209581,102.9428013
Male,5.635135296,72.90299331
Male,5.655954722,86.55478947
Male,5.734439409,82.99582848
Male,6.042470012,93.07268523
Male,5.595963109,78.84626508
Male,5.685202475,69.45418751
Male,5.695303176,84.37807944
Male,6.144806032,95.80960139
Male,5.936841931,87.76450944
Male,5.741953371,92.33262959
Male,5.774907797,91.87385648
Male,5.843277098,86.8065818
Male,5.733322207,88.86970917
Male,5.577062432,82.71493794
Male,5.462007199,73.73332121
Male,5.337247595,73.3986077
Male,5.641869907,77.46101883
Male,5.991722355,87.32043221
Male,5.417438678,75.87798579
Male,5.485484723,72.53704467
Male,5.603356686,74.09712479
Male,5.81869726,85.01503644
Male,5.664902425,84.17724849
Male,5.990334857,94.08188853
Male,5.741928182,86.40645093
Male,6.048239892,95.10412356
Male,5.376954387,74.52523179
Male,5.825234641,90.48236315
Male,5.684790371,78.04078214
Male,5.588458963,81.63345569
Male,5.560248359,76.38196833
Male,5.519462642,73.48928774
Male,5.673303702,85.36959446
Male,5.874280103,86.45618129
Male,5.910921665,89.18930885
Male,5.811109324,94.28692491
Male,5.926464124,89.44190672
Male,5.772816422,89.13578567
Male,6.126938368,87.88077549
Male,5.560741268,74.22448635
Male,5.927732669,80.93875604
Male,5.418181917,69.86268932
Male,5.666757892,83.03372604
Male,6.039525706,99.30511868
Male,5.652248523,82.49069489
Male,5.718426604,88.40309054
Male,5.751029327,83.06802374
Male,5.853427635,93.38977733
Male,5.782089194,79.74041796
Male,5.610407311,73.39860099
Male,6.018173992,97.29820355
Male,5.913997805,92.09497221
Male,5.960162512,90.41425704
Male,5.996348735,99.40579646
Male,5.520548096,88.40243714
Male,5.480409822,75.8883645
Male,5.608903777,81.64472085
Male,5.664465194,89.39640299
Male,6.127568541,107.0625312
Male,5.793604542,77.86856516
Male,5.474644956,72.30776247
Male,5.899558459,84.8713136
Male,5.527484313,93.7555623
Male,5.722977412,87.04580333
Male,5.664290329,78.34936221
Male,6.002296485,88.81586514
Male,5.960679897,90.72930002
Male,5.41467511,81.45538794
Male,5.863163997,81.9551187
Male,5.372749825,79.89716853
Male,5.569594748,74.23856132
Male,5.404751246,74.57270049
Male,5.951202424,86.89237358
Male,5.547128891,81.30774915
Male,5.517115847,77.74817531
Male,5.761156676,79.86177729
Male,5.81433073,90.36843179
Male,5.539719186,75.48289889
Male,5.500769317,69.47803116
Male,5.671261183,80.09312787
Male,5.816298721,82.77248565
Male,5.704838016,80.64215195
Male,5.607152255,71.35559433
Male,5.4990515,74.92658922
Male,5.742122822,77.39265492
Male,5.61155571,78.46388208
Male,5.751297256,84.48540836
Male,5.659826773,90.66958308
Male,5.943388121,92.21715545
Male,5.743339173,80.40849593
Male,5.582742761,73.80649247
Male,6.115871052,100.471502
Male,5.771588846,91.33123784
Male,5.669859467,85.22630352
Male,5.622333968,80.17675002
Male,5.951578296,100.4847008
Male,5.281477962,75.16291802
Male,5.703859472,81.2109069
Male,5.556795357,73.99761552
Male,5.204680148,67.48632828
Male,5.99744794,86.80961997
Male,5.885418204,90.84779942
Male,5.611617019,80.9406117
Male,5.876529394,88.41047612
Male,5.752295831,84.39824228
Male,5.498160562,77.26192187
Male,5.601852017,86.26482216
Male,5.461918608,74.63279151
Male,5.92982757,83.54823359
Male,5.682545683,80.22681032
Male,5.310997742,67.94057309
Male,5.893157508,94.46819553
Male,5.655597108,78.37101194
Male,5.676818221,80.9455397
Male,5.651986239,75.48621354
Male,5.655669,82.37009718
Male,5.715387496,76.30056936
Male,5.490354761,78.04425272
Male,5.49510066,81.40029957
Male,5.596865977,82.57901981
Male,5.7661018,92.69005959
Male,5.852816354,82.69193034
Male,5.921085211,90.87952298
Male,5.893161416,97.25404262
Male,5.49479486,71.72564567
Male,6.021094485,94.65139112
Male,5.600786196,80.37825759
Male,5.424084076,66.03290892
Male,5.880057181,88.17165675
Male,5.804893447,76.57913421
Male,5.373404685,76.34432435
Male,5.752597439,89.27041212
Male,5.713592417,80.95847261
Male,5.140797831,66.26865893
Male,5.69324685,79.642913
Male,5.413141773,83.46050478
Male,5.339692793,79.87221104
Male,5.706159256,76.42236483
Male,6.016641398,89.36176419
Male,5.580416266,91.50765269
Male,5.582879202,86.94795272
Male,5.404835855,80.16072534
Male,5.499814063,73.25081253
Male,5.619239412,71.67892977
Male,5.439047766,77.4514404
Male,5.799124494,90.82666917
Male,5.683995655,76.65854832
Male,5.993758958,92.42539232
Male,5.658901213,76.40449565
Male,5.974440143,90.19678973
Male,5.483406349,80.3650293
Male,5.532461626,75.60631337
Male,5.610752209,79.99489161
Male,5.664413359,86.9749308
Male,5.37911558,73.07079327
Male,5.601854116,82.52272098
Male,5.659000649,81.47524289
Male,5.772930947,94.89230955
Male,5.511386723,74.5058246
Male,5.52714904,88.26680241
Male,5.970678586,90.92089134
Male,5.667824464,76.68612113
Male,5.80630245,90.87663839
Male,5.963643719,87.02414307
Male,5.457706387,80.93506032
Male,5.563643723,70.42047075
Male,6.366916293,105.7659385
Male,6.023403074,103.7522408
Male,5.787490807,91.75304475
Male,6.042335592,98.19737847
Male,6.020766388,100.2002301
Male,6.000463701,93.81368966
Male,5.58202596,81.350901
Male,6.303390212,104.3661368
Male,5.504247249,76.76723615
Male,5.90595244,84.72215534
Male,5.90895279,88.22768814
Male,5.992393497,96.57161289
Male,6.236688179,100.8559221
Male,5.346156937,71.36072879
Male,5.372957222,74.92550162
Male,5.263410733,72.06327702
Male,5.631439214,79.27768544
Male,5.472338141,78.51838262
Male,5.890223687,87.25792446
Male,5.609202024,84.14622302
Male,5.692909447,78.11810825
Male,5.836954536,87.00595214
Male,6.008741874,93.79642905
Male,5.878131107,92.71484001
Male,5.469974005,77.65885395
Male,6.208016127,104.6859313
Male,5.617516279,79.75806548
Male,5.57394491,79.04101059
Male,5.957311821,95.68174604
Male,5.367214251,75.1361418
Male,5.654189774,88.38648689
Male,5.543314961,74.44405899
Male,5.544885537,79.45461837
Male,5.634539145,78.59341562
Male,5.741406884,87.85688819
Male,5.828668636,92.55799728
Male,5.383031332,71.25364908
Male,5.629150741,76.08645374
Male,5.26554054,61.04514416
Male,5.963420093,98.17086128
Male,5.538430113,70.15479359
Male,5.973369369,90.68767983
Male,6.309771841,106.1667273
Male,5.932516406,87.92667792
Male,5.591694117,79.48627362
Male,5.856085232,89.30711187
Male,5.798969406,83.5726095
Male,5.639648313,79.80650091
Male,6.150678385,97.09186658
Male,5.740930413,84.16008914
Male,5.524249971,77.21454794
Male,5.536233214,77.7779141
Male,5.581423391,75.72612911
Male,5.731264995,73.71922001
Male,5.865838016,85.51054539
Male,5.436416595,70.59147827
Male,5.410539331,77.67291717
Male,5.60815587,76.07879235
Male,6.126677012,104.1185286
Male,5.943344829,93.26271456
Male,5.621154187,77.46874749
Male,5.663183952,89.9224911
Male,5.472142002,75.64068549
Male,5.938525144,89.01882666
Male,5.740643633,88.60154175
Male,5.693605724,81.09980105
Male,5.897773404,85.11030558
Male,5.282456945,71.29022279
Male,5.908143798,94.01520722
Male,5.488679873,84.21350378
Male,5.399761969,70.91209418
Male,5.651584072,81.74000025
Male,5.892430944,92.13600519
Male,6.160357515,104.0085854
Male,5.754150809,83.81629332
Male,5.389301402,81.49224132
Male,5.672787912,89.51444087
Male,5.887117382,91.51670844
Male,5.102658164,72.46293845
Male,5.684737456,85.41300681
Male,5.980140859,90.09127283
Male,6.019298363,99.83819264
Male,5.912414645,96.32706669
Male,5.997506561,90.76563972
Male,5.607898312,84.23419212
Male,5.99821138,88.43736011
Male,5.195820584,68.27431667
Male,5.497624295,75.28388864
Male,5.780986305,89.4796632
Male,5.750731477,80.4552966
Male,5.870198135,87.09266345
Male,5.712775042,88.98205725
Male,5.479197543,83.00781518
Male,5.512435211,69.83764727
Male,5.529096824,72.44639546
Male,5.646890208,85.08800777
Male,5.851699037,77.8435997
Male,5.740091548,88.15286561
Male,5.875986877,97.08590489
Male,5.411133301,75.0183179
Male,6.207214289,107.7589543
Male,5.898553221,82.92566061
Male,5.754738417,89.99275091
Male,5.801633928,86.135504
Male,5.347291085,76.09923063
Male,5.631726848,87.63503513
Male,5.606572768,82.4699399
Male,6.205698088,94.66645892
Male,5.927772517,89.11911776
Male,5.570988584,77.69884068
Male,5.798345797,88.68188529
Male,5.679757511,85.7276145
Male,5.638479057,83.0499674
Male,5.685113482,80.96841747
Male,5.415263903,71.77644891
Male,5.82538422,89.0480282
Male,5.901643052,97.77132234
Male,5.681149019,84.5583417
Male,5.429907876,79.58775789
Male,5.619165413,83.31669095
Male,6.160514234,100.4886181
Male,5.906881407,93.12434181
Male,5.580154067,76.95762327
Male,5.634086413,78.8502816
Male,5.592239164,77.98967802
Male,5.707183495,81.50668808
Male,5.951537618,91.17405374
Male,5.758622568,89.932914
Male,6.118471793,100.581625
Male,5.764630225,98.66776802
Male,5.875262054,95.04723641
Male,5.95678249,90.35954235
Male,5.755506679,93.96439889
Male,5.418740117,72.63903677
Male,5.886513086,93.52617507
Male,5.693523003,81.37405701
Male,5.694115104,79.56696429
Male,5.766735762,87.57169583
Male,5.472264385,73.35379427
Male,5.68743766,77.97179574
Male,6.136117303,97.02901593
Male,5.909428839,94.56053805
Male,5.52419671,83.26904585
Male,5.954608927,84.58440993
Male,5.788820834,84.68150616
Male,5.540304293,80.7939077
Male,5.784471048,95.27329305
Male,5.843491897,88.96146395
Male,5.728638097,83.8295964
Male,5.372779834,74.74773258
Male,5.892840179,84.9652965
Male,5.350164583,72.62044794
Male,5.789210374,87.06431646
Male,5.936728451,85.17701075
Male,5.671217016,93.50321607
Male,5.873471773,89.69539244
Male,5.927781119,94.43621547
Male,5.759409349,81.07896276
Male,5.976143774,88.29648653
Male,5.742892423,85.24747818
Male,5.491808152,74.48157333
Male,5.583587869,82.07745062
Male,5.886014338,85.30093688
Male,5.736950687,85.33166135
Male,5.594949147,76.58609643
Male,6.05390787,97.24385462
Male,5.850747082,79.68049848
Male,5.727685535,88.22303496
Male,5.541255123,75.46522329
Male,5.73701509,80.82354155
Male,6.069480177,99.2976323
Male,5.601406384,73.93285859
Male,5.391271501,70.44515384
Male,5.625946593,82.65646305
Male,5.6159791,76.63747208
Male,5.517540952,75.88226876
Male,6.057926827,94.33708853
Male,5.773748279,87.90571215
Male,5.893295492,87.44517063
Male,5.802997901,98.71556252
Male,5.950862769,92.32278674
Male,5.614945091,80.49718517
Male,5.668531028,81.77621918
Male,5.701042221,91.60215021
Male,5.720009047,74.32015442
Male,5.723753013,89.06914332
Male,5.581520522,77.97781485
Male,5.720016682,82.77650501
Male,5.464599194,62.79032111
Male,5.367699271,72.08483909
